wn-kotlerman_balanced-path	0.553
wn-kotlerman_balanced-path	0.518
wn-kotlerman_balanced-lin	0.560
wn-kotlerman_balanced-lin	0.515
wn-kotlerman_balanced-res	0.541
wn-kotlerman_balanced-res	0.507
wn-kotlerman_balanced-wup	0.517
wn-kotlerman_balanced-wup	0.502
wn-kotlerman_balanced-lch	0.553
wn-kotlerman_balanced-lch	0.555
wn-kotlerman_balanced-jcn	0.590
wn-kotlerman_balanced-jcn	0.597
wn-oren_balanced-path	0.553
wn-oren_balanced-path	0.564
wn-oren_balanced-lin	0.573
wn-oren_balanced-lin	0.521
wn-oren_balanced-res	0.567
wn-oren_balanced-res	0.521
wn-oren_balanced-wup	0.571
wn-oren_balanced-wup	0.552
wn-oren_balanced-lch	0.553
wn-oren_balanced-lch	0.564
wn-oren_balanced-jcn	0.631
wn-oren_balanced-jcn	0.588
